Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01702","Broad beans and horse beans, dry","2021","2021","t","312.67","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","22241.01","Butter of cow milk","2021","2021","t","720","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21512","Cattle fat, unrendered","2021","2021","t","954.98","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01199.90","Cereals n.e.c.","2021","2021","t","30228.87","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","22251.01","Cheese from whole cow milk","2021","2021","t","720","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01703","Chick peas, dry","2021","2021","t","3763.37","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2021","2021","t","5026.19","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2021","2021","t","2195.19","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2021","2021","t","1391.14","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2021","2021","t","860.94","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2021","2021","t","51132.88","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21519.02","Fat of camels","2021","2021","t","86.09","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","22241.02","Ghee from cow milk","2021","2021","t","900","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21515","Goat fat, unrendered","2021","2021","t","301.84","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","0142","Groundnuts, excluding shelled","2021","2021","t","2239.9","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","0231","Hen eggs in shell, fresh","2021","2021","t","2221.72","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5513","Production","0231","Hen eggs in shell, fresh","2021","2021","1000 No","56967","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01704","Lentils, dry","2021","2021","t","143.61","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01441","Linseed","2021","2021","t","191.12","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","0112","Maize (corn)","2021","2021","t","20000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21117.01","Meat of camels, fresh or chilled","2021","2021","t","3443.74","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","t","24628.33","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21121","Meat of chickens, fresh or chilled","2021","2021","t","1143.15","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21116","Meat of goat, fresh or chilled","2021","2021","t","6311.17","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21115","Meat of sheep, fresh or chilled","2021","2021","t","6736.02","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","0118","Millet","2021","2021","t","25000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21691.12","Oil of linseed","2021","2021","t","74","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21691.07","Oil of sesame seed","2021","2021","t","630","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01359.90","Other fruits, n.e.c.","2021","2021","t","4859.36","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01449.90","Other oil seeds, n.e.c.","2021","2021","t","15187.7","I","Imputed value",""
